"","eng","fi","z"
"58","Tap here","Napauta tästä",NA
"59","Tapping task","Naputustehtävä",NA
"60",NA,NA,"Next"
"61",NA,NA,"Previous"
"62",NA,NA,"Seuraava"
"63",NA,NA,"Edellinen"
"64","Welcome MMBB battery","Tervetuloa MMBB-patteriin",NA
"65","Welcome!","Tervetuloa!",NA
"66","When you are ready to begin, click Next","Kun olet valmis aloittamaan, paina Seuraava",NA
"67","End of the task","Tehtävä on päättynyt",NA
"68","End of task 2","Tehtävä 2 on päättynyt",NA
"69","End of task 3","Tehtävä 3 on päättynyt",NA
"70","Loading","Ladataan",NA
"71","Continue","Jatka",NA
"72","When you are ready to continue, click Next","Kun olet valmis jatkamaan, paina Seuraava",NA
"73","How easy was this task for you?","kuinka helppoa tämä tehtävä oli sinulle?",NA
"74","Very easy","Todella helppoja",NA
"75","Very hard","Todella haastavia",NA
"76","For this task you will need the following items:","Tätä tehtävää varten tarvitset seuraavat esineet:",NA
"77","A pocket or a purse<br><img id='pocket' src='./images/pocket.svg'></img>","Taskun tai käsilaukun<br><img id='pocket' src='./images/pocket.svg'></img>",NA
"78","Please, use either wired headphones/earplugs or the phone's loudspeaker. Do not use bluetooth hearing-devices.<br> <img id='noBluetooth' src='./images/noBluetooth.svg'></img>","Käytä joko langallisia kuulokkeita tai puhelimen kaiutinta. Älä käytä Bluetooth-laitteita.",NA
"79","To ensure the correct functioning of the experiment, it is required that you disable the automatic lock of your phone screen. Tap Next to see instructions.","Jotta koe onnistuu, sinun on poistettava puhelimen näytön automaattinen lukitus. Näet ohjeet napauttamalla Seuraava.",NA
"80","On <b>iPhone</b>:","<b>iPhonin</b> päällä",NA
"81","Settings <br> <img id='instructionLock' src='./images/instructions/iosInstruction0.png'></img>","Asetukset <br> <img id='instructionLock' src='./images/instructions/iosInstruction0.png'></img>",NA
"82","Display & brightness <br> <img id='instructionLock' src='./images/instructions/iosInstruction1.png'></img>","Näyttö & kirkkaus <br> <img id='instructionLock' src='./images/instructions/iosInstruction1.png'></img>",NA
"83","Auto-lock > Never <br> <img id='instructionLock' src='./images/instructions/iosInstruction2.png'></img>","Automaattinen lukitus > Ei koskaan <br> <img id='instructionLock' src='./images/instructions/iosInstruction2.png'></img>",NA
"84","You can re-enable this setting once the experiment has ended.","Voit ottaa tämän asetuksen uudelleen käyttöön, kun kokeilu on päättynyt.",NA
"85","To ensure the correct functioning of the experiment, it is required that you disable the automatic lock of your phone screen. Tap Next to see instructions.","Jotta koe onnistuu, sinun on poistettava puhelimen näytön automaattinen lukitus. Näet ohjeet napauttamalla Seuraava.",NA
"86","On <b>Android</b>:","<b>Androiding</b> päällä",NA
"87","Settings <br> <img id='instructionLock' src='./images/instructions/androidInstructions0.png'></img>","Astetukset <br> <img id='instructionLock' src='./images/instructions/androidInstructions0.png'></img>",NA
"88","Display <br> <img id='instructionLock' src='./images/instructions/androidInstructions1.png'></img>","Näyttö & kirkkaus <br> <img id='instructionLock' src='./images/instructions/androidInstructions1.png'></img>",NA
"89","Screen timeout > 30/15 minutes <br> <img id='instructionLock' src='./images/instructions/androidInstructions2.png'></img>","Näytön lukitus > 30/15 minuuttia <br> <img id='instructionLock' src='./images/instructions/androidInstructions2.png'></img>",NA
"90","You can re-enable this setting once the experiment has ended.","Voit ottaa tämän asetuksen uudelleen käyttöön, kun kokeilu on päättynyt.",NA
"91","Not at all","En lainkaan",NA
"92","Very much","Erittäin",NA
"93","For this task you will need the following items:","Tätä tehtävää varten tarvitset seuraavat esineet:",NA
"94","A flat surface where you can lay down your phone<br><img id='tableSVG' src='./images/table.svg'></img>","Tasainen pinta, jolle voit laskea puhelimen<br><img id='tableSVG' src='./images/table.svg'></img>",NA
"95","Please, use either wired headphones/earplugs or the phone's loudspeaker. Do not use bluetooth hearing-devices.<br> <img id='noBluetooth' src='./images/noBluetooth.svg'></img>","Käytä joko langallisia kuulokkeita tai puhelimen kaiutinta. Älä käytä Bluetooth-laitteita.",NA
"96","You can take breaks between each task","Voit pitää tauon jokaisen tehtävän välillä",NA
"97","In this task, you will hear a song which has a click track on top of it<br><img id='music' src='./images/music.svg'></img>","Tässä tehtävässä kuulet laulun jonka päällä on kilikkiraita<br><img id='music' src='./images/music.svg'></img>",NA
"98","The click track sounds like this:<br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/training/metronome_0.mp3"" type=""audio/mp3""></audio>","Kilikkiraita kuulostaa tältä: <br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/training/metronome_0.mp3"" type=""audio/mp3""></audio>",NA
"99","The beat of the song and the click track may or may not be aligned with each other","Laulu ja kilikkiraita ovat joko samassa tahdissa tai eri tahdissa",NA
"100","Next, some examples","Seuravassa pari esimerkki",NA
"101","Not aligned: <br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/baseSongs/example/notAligned.mp3"" type=""audio/mp3""></audio>","Eri tahdissa: <br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/baseSongs/example/notAligned.mp3"" type=""audio/mp3""></audio>",NA
"102","Aligned: <br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/baseSongs/example/aligned.mp3"" type=""audio/mp3""></audio>","Samassa tahdissa: <br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/baseSongs/example/aligned.mp3"" type=""audio/mp3""></audio>",NA
"103","Your task is to find the best alignment between the click and the song","Tehtäväsi on löytää paras kohdistus metronomin iskun ja kappaleen väliltä",NA
"104","By clicking these buttons, you will be able to align the song and the click in a few different ways:<br><img id='music' src='./images/exampleBAT.png'></img>","<br><img id='music' src='./images/exampleBAT.png'></img>",NA
"105","Let's start with a practice trial","Aloitetaan harjoit telutehtävällä",NA
"106","Your task is to click through the buttons until you find the best aligment between the song and the click. Once you find it, click Continue","Tehtäväsi on koskettaa ja kokeilla eri painikkeita, kunnes löydät parhaan kohdistuksen kappaleen ja metronomin iskun väliltä. Kun löydät sen, paina Jatka",NA
"107","Each trial has a time-limit, so try to find the best alignment as quickly as you can","Jokaisella kokeilulla on aikaraja, joten yritä löytää paras ajoitus mahdollisimman nopeasti",NA
"108","Ok, let's continue with the task","Selvä, jatketaan varsinaisellä tehtävällä",NA
"109","Next you will hear 6 songs. Align the click track with the beat of the song","Seuravaaksi kuulet 6 laulua. Säädää kilikkiraita laulun tahtiin",NA
"110","Adjust the beat<br>","Säädää tahtia<br>",NA
"111","Beat alignment task","Tahdin kohdistustehtävä",NA
"112","How satisfied were you with the alignment that you found between this song and the click?","Kuinka tyytyväinen olit tämän kappaleen ja metronomin iskun väliseen linjaukseen?",NA
"113","Can you hear this song?<br>If so, adjust the volume to a comfortable hearing level and click Continue.<br><img id='tableSVG' src='./images/soundSVG.svg'><br>If you cannot hear the song, try changing to a different computer/phone or to a different internet browser.","Kuunletko tämän kappaleen?<br>Jos kuulet, säädä äänenvoimakkuutta miellyttävälle kuulotasolle ja napauta Jatka.<br><img id='tableSVG' src='./images/soundSVG.svg'> <br>Jos et kuule kappaletta, yritä vaihtaa toiseen tietokoneeseen/puhelimeen tai toiseen internetselaimeen.",NA
"114","Yes","Kyllä",NA
"115","No","Ei",NA
"116","Is someone helping you to complete this task?","Auttaako joku sinua tämän tehtävän suorittamisessa?",NA
"117","Can you hear this song?<br>If yes, adjust the volume to a comfortable hearing level and click Next.<br>Make sure that the 'mute' button on the left side of your phone is disabled. <br> If it still doesn't work change to a different phone or to a different internet browser.","Kuunteletko tämän kappaleen?<br>Jos kyllä, säädä äänenvoimakkuus miellyttävälle kuulotasolle ja napsauta Seuraava.<br>Jos käytät iPhonea, poista käytöstä puhelimen vasemmalla puolella oleva mykistyspainike. <br> Jos se ei vieläkään toimi, vaihda toiseen puhelimeen tai toiseen Internet-selaimeen.",NA
"118","I don't know","En tiedä",NA
"119","How old are you?","Kuinka vanha olet?",NA
"120","What is your gender?","Mikä on sukupuolesi?",NA
"121","female","nainen",NA
"122","male","mies",NA
"123","other","joku muu",NA
"124","prefer not to say","en halua kertoa",NA
"125","What is your primary spoken language?","Mikä on äidinkielesi?",NA
"126","What is your secondary spoken language? (If applicable)","Mikä on toissijainen puhuttu kielesi? (jos on)",NA
"127","What is your height (cm)?","Mikä on pituutesi (cm)?",NA
"128","What is your weight (Kg)?","Mikä on painosi (kg)?",NA
"129","How many years have you practiced singing?","Kuinka monta vuotta olet harrastanut laulamista?",NA
"130","How often did you practice singing at the most active stage?","Kuinka usein harrastit laulamista aktiivisimmassa vaiheessa?",NA
"131","How often do you practice singing currently?","Kuinka usein harrastat laulamista nykyään?",NA
"132","How many years have you practiced playing an instrument?","Kuinka monta vuotta olet harrastanut soittamista?",NA
"133","How often did you practice playing an instrument at the most active stage?","Kuinka usein harrastit soittamista aktiivisimmassa vaiheessa?",NA
"134","How often do you practice playing an instrument currently?","Kuinka usein harrastat soittamista nykyään?",NA
"135","How many years have you practiced dancing?","Kuinka monta vuotta olet harrastanut tanssimista?",NA
"136","How often did you practice dancing at the most active stage? ","Kuinka usein harrastit tanssimista aktiivisimmassa vaiheessa?",NA
"137","How often do you practice dancing currently?","Kuinka usein harrastat tanssimista nykyään?",NA
"138","How often do you actively listen to music?","Kuinka usein kuuntelet musiikkia aktiivisesti?",NA
"139","How many years of training outside of primary and lower secondary school have you received for singing, playing an instrument, and/or dancing?","Kuinka monta vuotta olet saanut opetusta peruskoulun ulkopuolella laulamiseen, soittamiseen, ja/tai tanssimiseen?",NA
"140","How musical do you consider yourself? 1 (not at all) – 5 (very)","Kuinka musikaaliseksi koet itsesi? 1 (en lainkaan) – 5 (hyvin)",NA
"141","Which musical genres do you prefer the most? (list 3)","Mistä musiikkilajeista pidät eniten? (luettele 3)",NA
"142","Which songs or artists do you prefer the most? (list 3)","Mistä lauluista tai artisteista pidät eniten? (luettele 3)",NA
"143","Which musical genres do you prefer the least? (list 3)","Mistä musiikkilajeista pidät vähiten? (luettele 3)",NA
"144","Which songs or artists do you prefer the least? (list 3)","Mistä lauluista tai artisteista pidät vähiten? (luettele 3)",NA
"145","I like to listen to music that contains emotion.","Pidän sellaisen musiikin kuuntelusta, joka herättää tunteita.",NA
"146","I get emotional listening to certain pieces of music.","Liikutun, kun kuuntelen tiettyjä musiikkikappaleita.",NA
"147","I can become tearful or cry when I listen to a melody that I like very much.","Saatan kyynelehtiä tai itkeä kuunnellessani melodiaa, josta pidän todella paljon.",NA
"148","I sometimes feel chills when I hear a melody that I like.","Toisinaan menen kananlihalle kuunnellessani melodiaa, josta pidän.",NA
"149","I don’t like to dance, not even with music I like.","En pidä tanssimisesta edes mielimusiikkini tahtiin.",NA
"150","Music often makes me dance.","Musiikki saa minut usein tanssimaan.",NA
"151","I can’t help humming or singing along to music that I like.","En voi olla hyräilemättä tai laulamatta mukana kun kuulen musiikkia, josta pidän.",NA
"152","When I hear a tune I like a lot I can’t help tapping or moving to its beat.","Kuullessani musiikkikappaleen, josta pidän todella paljon, en malta olla taputtamatta tai liikkumatta sen tahtiin.",NA
"153","Music keeps me company when I’m alone.","Musiikki pitää minulle seuraa yksin ollessani.",NA
"154","Music calms and relaxes me.","Musiikki rauhoittaa ja rentouttaa minua.",NA
"155","Music helps me chill out.","Musiikki auttaa minua rentoutumaan.",NA
"156","Music comforts me.","Musiikki lohduttaa minua.",NA
"157","In my free time I hardly listen to music.","En juurikaan kuuntele musiikkia vapaa-aikanani.",NA
"158","I inform myself about music I like.","Pidän itseni ajan tasalla makuani vastaavasta musiikista.",NA
"159","I’m always looking for new music.","Etsin aina uutta musiikkia.",NA
"160","I spend quite a bit of money on music and related items.","Käytän melko paljon rahaa musiikkiin ja siihen liittyviin asioihin.",NA
"161","When I share music with someone, I feel a special connection with that person.","Kun kuuntelen tai esitän musiikkia toisen ihmisen kanssa, tunnen erityistä yhteyttä häneen.",NA
"162","Music makes me bond with other people.","Musiikki saa minut kokemaan yhteenkuuluvuutta muiden kanssa.",NA
"163","I like to sing or play an instrument with other people.","Pidän toisten kanssa laulamisesta tai soittamisesta.",NA
"164","At a concert, I feel connected to the performers and the audience.","Konserteissa koen yhteyden esiintyjien ja yleisön kanssa.",NA
"165","I usually put background music on to make the atmosphere more pleasant.","Soitan yleensä taustamusiikkia tehdäkseni tunnelmasta miellyttävämmän.",NA
"166","When I’m busy around the house and no one else is around, I like to have some music on the background.","Kun olen yksin tehdessäni kotitöitä, pidän taustamusiikin soitosta.",NA
"167","I listen to music to perk up after a rough day. ","Kuuntelen musiikkia piristyäkseni rankan päivän jälkeen. ",NA
"168","When I’m exhausted, I listen to music to perk up.","Kun olen uupunut, kuuntelen musiikkia piristyäkseni.",NA
"169","Music has offered me magnificent experiences.","Musiikki on tarjonnut minulle upeita kokemuksia.",NA
"170","I want to feel the music in my whole body.","Haluan tuntea musiikin koko kehossani.",NA
"171","For me, music is a way to forget about my worries. ","Musiikki auttaa minua unohtamaan huoleni. ",NA
"172","When stressful thoughts keep going round and round in my head, I start to listen to music to get them off my mind.","Kun ahdistavia ajatuksia pyörii päässäni, alan kuuntelemaan musiikkia päästäkseni niistä eroon.",NA
"173","When I’m really angry, I feel like listening to some aggressive music.","Kun olen todella vihainen, minun tekee mieli kuunnella aggressiivista musiikkia.",NA
"174","When I’m angry with someone, I listen to music that expresses my anger.","Kun olen vihainen jollekin, kuuntelen musiikkia joka ilmaisee vihaani.",NA
"175","Music has helped me to get through hard experiences.","Musiikki on auttanut minua selviytymään kovista kokemuksista.",NA
"176","When I’m distressed by something, music helps me to clarify my feelings.","Kun jokin ahdistaa minua, musiikki auttaa selkeyttämään tunteitani.",NA
"177","When everything feels bad, music understands and comforts me.","Kun kaikki tuntuu pahalta, musiikki ymmärtää ja lohduttaa minua.",NA
"178","When I’m feeling sad, listening to music comforts me.","Musiikin kuunteleminen lohduttaa minua kun olen surullinen.",NA
"179","I am able to judge whether someone is a good singer or not.","Pystyn arvioimaan onko joku hyvä laulaja vai ei.",NA
"180","I find it difficult to spot mistakes in a performance of a song even if I know the tune. ","Minusta on vaikea havaita virheitä kappaleen esityksessä vaikka tietäisin kappaleen sävelmän.",NA
"181","I have trouble recognizing a familiar song when played in a different way or by a different performer.","Minusta on hankala tunnistaa tuttu kappale kun se soitetaan eri tavalla tai eri esittäjä soittaa sen.",NA
"182","I can tell when people sing or play out of time with the beat.","Huomaan kun ihmiset laulavat tai soittavat väärään tahtiin.",NA
"183","I can tell when people sing or play out of tune.","Huomaan kun ihmiset laulavat tai soittavat epävireessä.",NA
"184","When I sing, I have no idea whether I'm in tune or not.","Laulaessani en tiedä laulanko epävireessä vai en.",NA
"185","If somebody starts singing a song I don't know, I can usually join in.","Jos joku alkaa laulamaan minulle tuntematonta kappaletta, voin yleensä liittyä mukaan lauluun.",NA
"186","I can sing or play music from memory.","Osaan laulaa tai soittaa musiikkia ulkomuistista.",NA
"187","I am able to hit the right notes when I sing along with a recording.","Pystyn osumaan oikeisiin nuotteihin laulaessani äänitteen mukana.",NA
"188","I am not able to sing in harmony when somebody is singing a familiar tune. ","En pysty laulamaan harmoniassa, kun joku laulaa tuttua säveltä.",NA
"189","I don’t like singing in public because I’m afraid that I would sing wrong notes.","En pidä julkisesti laulamisesta, koska pelkään laulavani vääriä nuotteja.",NA
"190","After hearing a new song two or three times, I can usually sing it by myself.","Kuultuani uuden kappaleen kahdesti tai kolmesti, pystyn yleensä laulamaan sen itsekseni.",NA
"191","I find it easy to control my movements.","Minusta on helppo hallita omia liikkeitäni.",NA
"192","I find it easy to learn or imitate other people's movements.","Minusta on helppo oppia tai matkia toisten liikkeitä.",NA
"193","If someone asks me to dance, I usually say yes.","Sanon yleensä kyllä, jos joku pyytää minua tanssimaan.",NA
"194","I find dancing really embarrassing.","Tanssiminen on minusta todella noloa.",NA
"195","When I dance, I feel better.","Minulle tulee parempi olo kun tanssin.",NA
"196","Sometimes I feel like I just have to dance.","Joskus koen että minun on vain tanssittava.",NA
"197","Movement","Liike",NA
"198","Singing","Laulaminen",NA
"199","Survey","Kysely",NA
"200","Emotion","Tunteet",NA
"201","MBEMA","MTMM",NA
"202","Rhythm","Rytmi",NA
"203","Hello","Tervetuloa",NA
"204","Music and Emotion Survey","Kysely musiikista ja tunteista",NA
"205","Music and Emotion part 2","Musiikki ja tunteet Osa 2",NA
"206","Angry","Viha",NA
"207","Happy","Ilo",NA
"208","Sad","Suru",NA
"209","Tender","Hellyys",NA
"210","Next, you will listen to clips of music. Please choose the emotion that the music expresses the most.","Seuraavaksi kuulet musiikkia. Valitse tunnetila, jota musiikki ilmaisee mielestäsi parhaiten.",NA
"211","You can practice once to get familiar with the task. Before starting, please adjust the volume to a comfortable level.","Voit nyt harjoitella, ennen kuin aloitat varsinaisen kyselyn. Voit myös säätää samalla äänenvoimakkuuden itselle sopivaksi.",NA
"212","Thank you for your response! The practice is over, you can start the task by clicking Next","Kiitos vastauksista! Harjoitus on nyt ohi, ja voit aloittaa tehtävän painamalla Seuraava",NA
"213","Which of these two emotions does the music express the most?","Mitä tunnetilaa musiikki ilmaisee parhaiten?",NA
"214","Listen...","Kuuntele…",NA
"215","Music and Emotion Part 2","Musiikki ja tunteet Osa 2",NA
"216","Next, listen to the clips of music and rate what they express in terms of mood, energy, and strength of emotions. You can start the task by clicking ""Next","Seuraavaksi kuulet musiikkia. Arvioi, mitä eri kappaleet ilmaisevat tunnetilan, energisyyden ja tunteiden voimakkuuden suhteen. Voit aloittaa tehtävän painamalla ""Seuraava",NA
"217","Please rate what the music expresses","Arvioi, mitä musiikki ilmaisee",NA
"218","Mood","Tunnelita",NA
"219","Energy","Energisyys",NA
"220","How strong are the emotions expressed by the music?","Kuinka voimakkaasti musiikki ilmaisee tunteita?",NA
"221","How much did you like/dislike the music?","Kuinka paljon pidit/et pitänyt musiikista?",NA
"222","How familiar did the music sound to you?","Kuinka tutulta musiikki kuulosti?",NA
"223","Very negative","Todella negatiivinen",NA
"224","Negative","Negatiivinen",NA
"225","Neutral","Neutraali",NA
"226","Positive","Positiivinen",NA
"227","Very low energy","Ei lankaan energinen",NA
"228","Very high energy","Todella vahvasti energinen",NA
"229","Very high energy","Todella vahvasti energinen",NA
"230","Very high energy","Todella vahvasti energinen",NA
"231","Please rate the emotional<br>content of the music","Arvioi musiikin<br>herättämiä tunteita.",NA
"232","Not at all","Ei lainkaan",NA
"233","Very strong","Todella voimakkaita",NA
"234","Strongly disliked","En pidä lainkaan",NA
"235","Choose","Valitse",NA
"236","Strongly liked","Pidän paljon",NA
"237","Very unfamiliar","Ei lainkaan tuttu",NA
"238","Very familiar","Todella tuttu",NA
"239","Thank you for your responses! The task will now be repeated.","Kiitos vastauksista! Nyt tehtävä toistuu uudelleen.",NA
"240","The task is now complete! Thank you for your participation","Tehtävä on nyt valmis! Kiitos osallistumisesta.",NA
"241","How old are you?","Kuinka vanha olet?",NA
"242","What is your gender?","Mikä on sukupuolesi?",NA
"243","Do you have any feedback to give us about this task?","Onko sinulla antaa meille palautetta tästä tehtävästä?",NA
"244","Was there any difficulty that you would like to report?","Löysitkö ongelmia, joista haluaisit ilmoittaa meille?",NA
"245","female","nainen",NA
"246","male","mies",NA
"247","other","joku muu",NA
"248","prefer not to say","en halua kertoa",NA
"249",NA,NA,"Next"
"250",NA,NA,"Previous"
"251",NA,NA,"Same"
"252",NA,NA,"Different"
"253",NA,NA,"Yes"
"254",NA,NA,"No"
"255",NA,NA,"Seuraava"
"256",NA,NA,"Edellinen"
"257",NA,NA,"Sama"
"258",NA,NA,"Eri"
"259",NA,NA,"Kyllä"
"260",NA,NA,"Ei"
"261","Montreal Battery of Evaluation of Musical Abilities","Montrealin tutkimuspatteristo musiikillisuuden määrittämiseen",NA
"262","Here, your musical abilities are quickly tested","Tässä osiossa testataan musiikillisuuttasi",NA
"263","You will hear a warning signal followed by two successive melodies that are to be compared.","Tässä tehtävässä kuulet peräkkäisiä melodiapätkiä joita vertailet",NA
"264","These two melodies are separated by a very short silence.","Näitä melodioita erottaa lyhyt hiljaisuus.",NA
"265","You have to decide whether these two melodies sound the same or different.","Näitä melodioita erottaa lyhyt hiljaisuus.",NA
